country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","28-09-2025 17:00:00",24.792403,84.992416,NH3,4,6,5
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","28-09-2025 17:00:00",25.697189,85.245900,PM2.5,26,66,48
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","28-09-2025 17:00:00",25.560083,87.553265,PM2.5,30,40,34
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","28-09-2025 17:00:00",25.560083,87.553265,CO,66,101,79
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","28-09-2025 17:00:00",26.11442,85.39813,PM10,41,67,58
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","28-09-2025 17:00:00",26.11442,85.39813,NO2,11,19,15
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","28-09-2025 17:00:00",26.11442,85.39813,SO2,3,5,4
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","28-09-2025 17:00:00",24.7955,84.9994,PM2.5,2,96,40
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","28-09-2025 17:00:00",24.7955,84.9994,NO2,8,10,9
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","28-09-2025 17:00:00",24.7955,84.9994,SO2,10,11,11
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","28-09-2025 17:00:00",26.63086,84.90051,PM2.5,13,55,33
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","28-09-2025 17:00:00",26.63086,84.90051,NO2,5,7,6
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","28-09-2025 17:00:00",26.446912,91.439057,PM10,24,61,41
India,Bihar,Munger,"Town Hall, Munger - BSPCB","28-09-2025 17:00:00",25.376776,86.471523,PM10,55,64,60
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","28-09-2025 17:00:00",26.1209,85.3647,SO2,4,6,4
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","28-09-2025 17:00:00",26.1209,85.3647,OZONE,12,58,31
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","28-09-2025 17:00:00",25.586562,85.043586,PM2.5,4,71,30
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","28-09-2025 17:00:00",25.586562,85.043586,NH3,2,3,3
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","28-09-2025 17:00:00",25.586562,85.043586,CO,25,40,34
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","28-09-2025 17:00:00",25.592539,85.227158,PM2.5,26,46,33
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","28-09-2025 17:00:00",25.592539,85.227158,NO2,14,19,16
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","28-09-2025 17:00:00",25.592539,85.227158,SO2,6,63,11
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","28-09-2025 17:00:00",25.610369,85.132568,NO2,17,20,18
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","28-09-2025 17:00:00",25.610369,85.132568,SO2,30,33,31
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","28-09-2025 17:00:00",25.610369,85.132568,CO,70,74,73
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","28-09-2025 17:00:00",25.859655,85.77944,SO2,17,46,33
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","28-09-2025 17:00:00",25.859655,85.77944,CO,2,4,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","28-09-2025 17:00:00",24.952822,84.002396,PM2.5,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","28-09-2025 17:00:00",24.952822,84.002396,SO2,1,5,3
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","28-09-2025 17:00:00",21.194815,81.314770,CO,6,96,10
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","28-09-2025 17:00:00",21.194815,81.314770,OZONE,4,23,19
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","28-09-2025 17:00:00",21.224231,81.408350,PM2.5,2,23,10
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","28-09-2025 17:00:00",21.224231,81.408350,NO2,7,25,12
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","28-09-2025 17:00:00",25.892357,86.590325,OZONE,7,57,34
